timestamps	index	text	role	label	video	stage	gender	subject
00:32:40,200 --> 00:32:44,230	31833	\u6211\u4eec\u4e5f\u53ef\u4ee5\u4e0e\u7f8e\u56fd\u53bb\u79ef\u6781\u7684\u5bfb\u627e\u5229\u76ca\u7684\u5951\u5408\u70b9	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:32:44,230 --> 00:32:54,810	31834	\u4f46\u662f\u5982\u679c\u5728\u7f8e\u56fd\u5728\u6253\u538b\u7684\u8fc7\u7a0b\u4e2d，\u6211\u4eec\u5fc5\u987b\u8981\u575a\u5b88\u597d\u81ea\u5df1\u5e94\u6709\u7684\u8fd9\u6837\u7684\u4e00\u79cd\u7acb\u573a，\u540c\u65f6\u4e5f\u8981\u5584\u4e8e\u53bb\u5bfb\u627e\u5bf9\u7b56\u53bb\u6539\u53d8\u73b0\u72b6	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:32:54,920 --> 00:33:07,010	31836	\u597d，\u6240\u4ee5\u5c31\u662f\u5728\u4e2d\u56fd\u8fd9\u6837\u7684\u4e00\u79cd\u5916\u4ea4\u5b9a\u529b\u4e4b\u4e0b\u6211\u4eec\u6765\u770b\u770b\u786e\u5b9e\u6539\u53d8\u4e86\u4e00\u4e9b，\u6bd4\u5982\u8bf4\u7f8e\u56fd\u5e0c\u671b\u53bb\u5efa\u7acb\u4e00\u4e9b\u53cd\u534e\u8054\u76df，\u4f46\u662f\u8fd9\u4e2a\u8054\u76df\u7684\u5185\u90e8\u5f00\u59cb\u51fa\u73b0\u4e86\u677e\u52a8	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:33:07,330 --> 00:33:13,560	31838	\u6b63\u5982\u5308\u7259\u5229\u603b\u7406\u6240\u8a00，\u4ed6\u8bf4\u6b27\u76df\u4f60\u73b0\u5728\u4e0d\u5e94\u8be5\u968f\u7f8e\u56fd\u8d77\u821e	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:33:13,800 --> 00:33:23,490	31839	\u7f8e\u56fd\u5c06\u4e2d\u56fd\u89c6\u4e3a\u6700\u5927\u7684\u7ade\u4e89\u5bf9\u624b，\u90a3\u4e48\u6b27\u6d32\u4f60\u5c31\u5343\u4e07\u4e0d\u80fd\u9519\u5931\u773c\u524d\u5de8\u5927\u7684\u7ecf\u6d4e\u673a\u9047，\u53cd\u800c\u8981\u52a0\u5f3a\u4e0e\u4e2d\u56fd\u548c\u4fc4\u7f57\u65af\u7684\u7ecf\u8d38\u5408\u4f5c	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:33:23,500 --> 00:33:30,860	31840	\u6240\u4ee5\u6211\u4eec\u4f1a\u53d1\u73b0\u6211\u4eec\u7684\u8fd9\u6837\u4e00\u79cd\u6218\u7565，\u6211\u4eec\u8fd9\u6837\u7684\u4e00\u79cd\u6218\u7565\u81ea\u4fe1\u53ef\u4ee5\u53bb\u5e94\u5bf9\u56fd\u9645\u7684\u98ce\u4e91	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:33:32,070 --> 00:33:39,760	31841	\u597d\u90a3\u4e48\u540c\u6837\u6211\u4eec\u5728\u8fd9\u6837\u7684\u4e00\u79cd\u80cc\u666f\u4e0b，\u6211\u4eec\u4e5f\u5728\u5f00\u59cb\u7740\u4e8e\u53d8\u5c40\u4e2d\u53bb\u5f00\u65b0\u5c40	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:33:40,040 --> 00:33:56,290	31842	\u597d，\u90a3\u4e48\u6700\u540e\u6211\u4eec\u8fd8\u662f\u60f3\u56de\u5230\u6211\u4eec\u7684\u7559\u5b66\u751f\u95ee\u9898，\u5728\u767e\u5e74\u4e4b\u524d\u6211\u4eec\u7684\u7559\u5b66\u751f\u6709\u4e86\u8fd9\u6837\u7684\u4e00\u79cd\u62a5\u56fd\u4e4b\u60c5，\u4f46\u662f\u5bf9\u4e8e\u4eca\u5929\u7684\u7559\u5b66\u751f\u800c\u8a00，\u6211\u4eec\u6240\u9762\u4e34\u7684\u65f6\u4ee3\u683c\u5c40\u5728\u53d1\u751f\u7740\u5de8\u5927\u7684\u53d8\u5316	\u6559\u5e08	\u603b\u7ed3	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:33:56,460 --> 00:34:04,530	31845	\u6709\u767e\u5e74\u672a\u6709\u4e4b\u5927\u53d8\u5c40，\u8fd8\u6709\u65b0\u51a0\u75ab\u60c5，\u5168\u7403\u5927\u6d41\u884c\u4e00\u76f4\u4ea4\u7ec7\u5728\u5f71\u54cd，\u6211\u4eec\u8981\u53bb\u5b9e\u73b0\u7684\u76ee\u6807\u662f\u4ec0\u4e48	\u6559\u5e08	\u5f15\u5bfc\u601d\u8003	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:34:04,860 --> 00:34:10,240	31846	\u6211\u4eec\u8981\u5efa\u8bbe\u8d38\u6613\u5f3a\u56fd，\u6587\u5316\u5f3a\u56fd\u4f53\u80b2\u5f3a\u56fd，\u7f8e\u4e3d\u4e2d\u56fd\u7b49\u7b49	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:12:18,860 --> 00:12:25,340	34003	\u4ec0\u4e48\u53eb\u505a\u5411\u91cf\u7684\u6570\u4e58，\u4ec0\u4e48\u53eb\u505a\u5411\u91cf\u6570\u4e58\u6cd5	\u6559\u5e08	\u5f15\u5bfc\u601d\u8003	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:12:28,490 --> 00:12:35,670	34004	\u987e\u540d\u601d\u4e49，\u5c31\u662f\u6570\u5b57\u4e58\u4ee5\u5411\u91cf，\u6570\u4e58\u7684，\u5411\u91cf\u7684\u6570\u4e58\u662f\u5427	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:12:37,400 --> 00:12:49,610	34005	\u7528\u6570\u5b57\u4e58\u4ee5\u5411\u91cf，\u6240\u4ee5\u6211\u4eec\u89c4\u5b9a\u5b9e\u6570\u4e2d\u7684\u4e0e\u5411\u91cfa\u7684\u79ef\u662f\u4e00\u4e2a\u5411\u91cf，\u6211\u4eec\u628a\u8fd9\u6837\u7684\u8fd0\u7b97\u53eb\u505a\u6570\u4e58	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:12:50,820 --> 00:12:54,020	34006	\u4e3a\u4ec0\u4e48\u6211\u6570\u5b57\u4e58\u4ee5\u5411\u91cf\u7684\u79ef\u662f\u4e00\u4e2a\u5411\u91cf	\u6559\u5e08	\u5f15\u5bfc\u601d\u8003	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:12:56,100 --> 00:13:09,300	34007	\u5bf9，\u5b9e\u9645\u4e0a\u6211\u4e58\u4e00\u4e2a\u6570\u53ea\u662f\u628a\u5411\u91cf\u6269\u5927\u591a\u5c11\u500d，\u6216\u8005\u7f29\u5c0f\u5230\u591a\u5c11\u500d，\u548c\u5b83\u672c\u8eab\u6ca1\u6709\u591a\u5927\u7684\u5f71\u54cd	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:13:10,030 --> 00:13:20,140	34008	\u6211\u4eec\u8981\u4e58\u4e00\u4e2a\u6b63\u6570，\u53ea\u662f\u8bf4\u5b83\u540c\u5411，\u4e58\u4e00\u4e2a\u6b63\u6570\u5b83\u540c\u9879，\u4e58\u4e00\u4e2a\u8d1f\u6570\u5c31\u76f8\u5f53\u4e8e\u5b83\u53cd\u5411，\u4ec5\u6b64\u800c\u5df2	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:13:20,150 --> 00:13:29,100	34009	\u5b83\u7684\u65b9\u5411\u6539\u53d8\u4e5f\u5c31\u4ec5\u6b64\u5230\u5230\u6b64\u4e3a\u6b62\u4e86，\u540c\u5411\u6216\u8005\u53cd\u5411，\u7136\u540e\u6216\u8005\u8bf4\u4e58\u4e00\u4e2a0\u6211\u53d8\u6210\u4e00\u4e2a0	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:13:29,920 --> 00:13:37,490	34010	\u8fd9\u6837\u7684\u4efb\u4f55\u6570\u4e58\u4ee50\u90fd\u662f0，\u6211\u957f\u5ea6\u53d8\u4e3a0\u4e86\u65b9\u5411\u8fd8\u5b58\u5728，\u5b83\u662f\u4e00\u4e2a0\u5411\u91cf	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:13:37,960 --> 00:14:16,130	34011	\u6240\u4ee5\u5173\u4e8e\u5411\u91cf\u7684\u6570\u4e58，\u5173\u4e8e\u5411\u91cf\u7684\u6570\u4e58，\u5b83\u7684\u5b9a\u4e49\u5c31\u6ca1\u4ec0\u4e48\u597d\u8bb0\u7684，\u5b83\u5b9e\u9645\u4e0a\u5c31\u662f\u4e00\u4e2a\u5b9e\u6570\u62c9\u59c6\u8fbe\u4e58\u4ee5\u5411\u91cfa，\u5b9e\u6570\u62c9\u59c6\u8fbe\u4e58\u4ee5\u5411\u91cfa	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:14:16,130 --> 00:14:18,570	34013	\u8fd9\u4e2a\u5b9e\u6570\u62c9\u59c6\u8fbe，\u5bf9\u5b83\u6709\u8981\u6c42\u5417	\u6559\u5e08	\u5f15\u5bfc\u601d\u8003	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:14:25,150 --> 00:14:38,450	34016	\u5f53\u62c9\u59c6\u8fbe>0\u7684\u65f6\u5019，\u6211\u53ea\u662f\u8bf4\u660e，\u6211\u548c\u6211\u672c\u8eab\u7684\u5411\u91cf，\u540c\u5411，\u4e0e\u5411\u91cfa\u540c\u5411	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:14:40,810 --> 00:14:45,760	34017	\u5927\u5c0f\u6ca1\u5173\u7cfb\u5dee\u96f6\u70b9\u51e0，\u6211\u5c31\u7f29\u5c0f\u4e00\u70b9\u662f\u5427，\u628a\u957f\u5ea6\u7f29\u5c0f\u4e00\u70b9	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:14:45,770 --> 00:14:50,570	34018	\u5982\u679c\u662f\u5927\u4e8e\u4e00\u7684\u8bdd\u6211\u5c31\u6269\u5927\u4e00\u70b9，\u5bf9\u5427，\u65b9\u5411\u662f\u540c\u5411\u7684	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:14:50,820 --> 00:14:52,850	34020	\u5982\u679c\u62c9\u59c6\u8fbe\u5c0f\u4e8e\u5462	\u6559\u5e08	\u5f15\u5bfc\u601d\u8003	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:14:56,700 --> 00:15:01,810	34022	\u597d，\u65b9\u5411\u53cd\u5411，\u4e0e\u5411\u91cfa\u53cd\u5411	\u6559\u5e08	\u60c5\u611f\u652f\u6301\u4e0e\u53cd\u9988	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:15:01,820 --> 00:15:03,435	34023	\u62c9\u59c6\u8fbe\u53ef\u4ee5\u7b49\u4e8e0\u5417	\u6559\u5e08	\u5f15\u5bfc\u601d\u8003	video_high_10	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u6570\u5b66
00:00:03,800 --> 00:00:04,560	34196	﻿\u54b1\u4eec\u5c31\u4e0a\u8bfe\u4e86	\u6559\u5e08	\u8bfe\u5802\u7ba1\u7406	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:00:05,200 --> 00:00:05,630	34197	\u597d，\u4e0a\u8bfe	\u6559\u5e08	\u8bfe\u5802\u7ba1\u7406	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:00:16,370 --> 00:00:17,100	34200	\u597d，\u540c\u5b66\u4eec\u597d	\u6559\u5e08	\u8bfe\u5802\u7ba1\u7406	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:00:17,520 --> 00:00:22,330	34201	\u4eca\u5929\u6211\u4eec\u4e00\u8d77\u6765\u5b66\u4e60\u81ea\u7136\u5730\u7406\u8fc7\u7a0b\u5206\u6790，\u4ee5\u6cb3\u6e56\u6f14\u53d8\u4e3a\u4f8b	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:00:24,480 --> 00:00:32,480	34202	\u81ea\u7136\u5730\u7406\u8fc7\u7a0b\u6307\u7684\u662f\u5730\u7406\u4e8b\u7269\u548c\u73b0\u8c61\u53d1\u751f、\u53d1\u5c55\u548c\u6f14\u53d8\u7684\u8fc7\u7a0b	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:00:33,550 --> 00:00:44,200	34203	\u4e3b\u8981\u53ef\u4ee5\u5206\u4e3a\u81ea\u7136\u5730\u7406\u8fc7\u7a0b\u548c\u4eba\u6587\u5730\u7406\u8fc7\u7a0b，\u800c\u5176\u4e2d\u81ea\u7136\u5730\u7406\u8fc7\u7a0b\u662f\u6211\u4eec\u8fd1\u51e0\u5e74\u9ad8\u8003\u7684\u9ad8\u9891\u8003\u70b9	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:00:44,660 --> 00:00:54,500	34205	\u6211\u4eec\u5148\u6765\u770b\u4e00\u5f20\u8868\u683c，\u8fd9\u662f\u6211\u4eec\u8fd1\u4e09\u5e7419\u5e7420\u5e7421\u5e74\u5168\u56fd\u5377\u5bf9\u81ea\u7136\u5730\u7406\u8fc7\u7a0b\u7684\u8bd5\u9898\u8003\u5bdf	\u6559\u5e08	\u63d0\u9ad8\u53c2\u4e0e\u5ea6	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:00:54,820 --> 00:01:00,440	34206	\u770b\u5f97\u51fa\u6765\u4e00\u5171\u662f3\u5e748\u5957\u8bd5\u5377，\u6bcf\u5957\u8bd5\u5377\u5747\u6709\u8003\u5bdf	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:01:00,710 --> 00:01:02,550	34207	\u800c\u4e14\u5206\u503c\u600e\u4e48\u6837	\u6559\u5e08	\u5f15\u5bfc\u601d\u8003	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:01:03,670 --> 00:01:15,580	34209	\u7279\u522b\u7684\u9ad8，\u5e76\u4e14\u6d89\u53ca\u7684\u81ea\u7136\u5730\u7406\u8fc7\u7a0b\u7684\u89d2\u5ea6\u4e5f\u6bd4\u8f83\u7684\u5168，\u5730\u8c8c\u8fc7\u7a0b，\u6c34\u6587\u8fc7\u7a0b，\u5927\u6c14\u8fc7\u7a0b\u7b49\u7b49\u8fc7\u7a0b\u57fa\u672c\u90fd\u8986\u76d6\u4e86	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:01:17,780 --> 00:01:34,260	34211	\u8fd9\u4e9b\u9898\u76ee\u901a\u8fc7\u81ea\u7136\u5730\u7406\u8fc7\u7a0b\u7684\u8003\u5bdf，\u4e3b\u8981\u8003\u9a8c\u5927\u5bb6\u5bf9\u5730\u7406\u4e8b\u7269\u65f6\u7a7a\u6f14\u53d8\u7684\u7279\u5f81\u89c2\u5bdf，\u539f\u56e0\u5206\u6790，\u8fc7\u7a0b\u63a8\u5bfc\u4ee5\u53ca\u8d8b\u52bf\u9884\u6d4b	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:01:35,710 --> 00:01:45,010	34213	\u5f53\u7136\u8fd9\u4e9b\u9898\u76ee，\u5c24\u5176\u662f\u6d89\u53ca\u5230\u8fc7\u7a0b\u63a8\u5bfc\u4ee5\u53ca\u8d8b\u52bf\u9884\u6d4b\u7684\u9898\u76ee\u90fd\u6210\u4e86\u6211\u4eec\u7684\u4e22\u5206\u7684\u91cd\u707e\u533a	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:01:45,840 --> 00:01:51,550	34214	\u4eca\u5929\u6211\u4eec\u5c31\u4ee5\u6cb3\u6e56\u6f14\u53d8\u4e3a\u4f8b，\u4e00\u8d77\u6765\u63a2\u7a76\u81ea\u7136\u5730\u7406\u8fc7\u7a0b	\u6559\u5e08	\u6fc0\u53d1\u5174\u8da3	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:01:56,120 --> 00:02:09,000	34215	\u53ef\u53ef\u897f\u91cc\u662f\u4e2d\u56fd\u5efa\u6210\u7684\u9762\u79ef\u6700\u5927\u7684，\u6d77\u62d4\u6700\u9ad8\u7684，\u52a8\u7269\u8d44\u6e90\u6700\u4e30\u5bcc\u7684\u81ea\u7136\u4fdd\u62a4\u533a\u4e4b\u4e00，\u5e76\u4e8e2017\u5e74\u5217\u5165\u4e86\u4e16\u754c\u9057\u4ea7\u540d\u5f55	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:02:10,090 --> 00:02:20,770	34217	\u4f46\u662f\u57282011\u76849\u6708\u4efd，\u53ef\u53ef\u897f\u91cc\u7684\u5730\u533a\u53d1\u751f\u4e86\u4e00\u4e2a\u81ea\u71c3\u4e8b\u4ef6，\u5353\u4e43\u6e56\u51b3\u5824\u4e86	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:02:22,790 --> 00:02:38,330	34218	\u73b0\u5728\u8fd9\u5f20\u56fe\u7247，\u5c31\u662f\u79d1\u5c14\u897f\u91cc\u5730\u533a\u7cfb\u5217\u6e56\u6cca\u7684\u5206\u5e03，\u5f53\u5353\u4e43\u6e56\u51b3\u88c2\u4ee5\u540e，\u4f9d\u6b21\u7684\u8d2f\u901a\u4e86\u5176\u4e0b\u6e38\u7684\u5e93\u8d5b\u6e56，\u6d77\u5730\u8bfa\u5c14\u6e56	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_11	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u5730\u7406
00:07:37,450 --> 00:07:39,060	34636	\u7ea2\u58e4\u4e3b\u8981\u5206\u5e03\u5728\u4ec0\u4e48\u5730\u533a	\u6559\u5e08	\u5f15\u5bfc\u601d\u8003	video_high_13	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u751f\u7269
00:08:04,270 --> 00:08:04,910	34644	\u5f88\u597d，\u8bf7\u5750	\u6559\u5e08	\u8bfe\u5802\u7ba1\u7406	video_high_13	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u751f\u7269
00:08:05,640 --> 00:08:16,200	34646	\u6211\u4eec\u540c\u5b66\u80fd\u591f\u51c6\u786e\u5730\u8fa8\u8bc6\u51fa\u8fd9\u4e9b\u571f\u58e4\u7684\u989c\u8272\u800c\u4e14\u80fd\u8bf4\u51fa\u5b83\u7684\u5206\u5e03，\u8bf4\u660e\u540c\u5b66\u6709\u5f88\u597d\u7684\u533a\u57df\u8ba4\u77e5\u7684\u57fa\u7840	\u6559\u5e08	\u60c5\u611f\u652f\u6301\u4e0e\u53cd\u9988	video_high_13	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u751f\u7269
00:08:16,530 --> 00:08:19,090	34647	\u597d，\u63a5\u4e0b\u6765\u6211\u4eec\u6765\u89c2\u5bdf\u7b2c\u4e8c\u4e2a\u4efb\u52a1	\u6559\u5e08	\u63d0\u9ad8\u53c2\u4e0e\u5ea6	video_high_13	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u751f\u7269
00:08:22,250 --> 00:08:31,790	34649	\u6765，\u6bcf\u4e2a\u5c0f\u7ec4，\u8bf7\u4f60\u7528\u624b\u7814\u78e8\u6216\u8005\u63c9\u6413\u6211\u4eec\u5bb6\u4e61\u7684\u571f\u58e4，\u6765\u611f\u53d7\u4e00\u4e0b\u5b83\u7684\u8d28\u5730	\u6559\u5e08	\u63d0\u9ad8\u53c2\u4e0e\u5ea6	video_high_13	\u9ad8\u4e2d\u9636\u6bb5	\u7537	\u751f\u7269
